host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2013,1,1,1,1,NA,79,399,NA,NA,15,1,1125,0,No,100
2013,2,1,1,1,NA,105,NA,NA,NA,10,1,1125,35,No,100
2013,3,1,1,1,NA,155,800,1685,0,85,6,90,0,No,100
2013,1,1,1,1,NA,53,350,1125,NA,40,1,1125,48,No,100
2013,4,1.5,1,1,NA,150,NA,NA,300,NA,2,1125,45,No,93
2013,2,1,1,1,NA,120,NA,NA,0,0,1,1125,49,No,6
2013,4,1,2,3,NA,145,NA,NA,NA,50,2,1125,52,No,100
2010,4,1,0,1,NA,99,675,2600,NA,NA,1,1125,14,No,98
2013,2,1,0,1,NA,95,NA,NA,400,50,4,1125,20,No,100
2013,1,1,0,1,NA,102,853,2844,227,45,7,1125,79,No,46
2013,4,1,2,2,NA,120,790,2500,353,71,5,1125,63,No,46
2013,2,1,1,1,NA,70,NA,NA,NA,30,1,5,69,No,100
2013,6,1.5,2,4,NA,165,1200,NA,NA,40,1,7,11,No,100
2013,2,1,1,1,NA,60,500,NA,NA,15,1,1125,38,No,83
2013,2,1,1,1,NA,57,495,1495,500,0,4,1125,0,No,100
2013,2,1,1,1,NA,67,400,1300,NA,40,2,1125,46,No,100
2013,8,2.5,3,4,NA,900,NA,NA,1000,200,4,1125,90,No,100
2013,2,1.5,1,1,NA,99,NA,NA,100,20,1,1125,49,No,100
2013,1,1,1,1,NA,236,1800,4800,200,100,7,120,88,Yes,100
2013,2,2.5,1,1,NA,100,NA,NA,NA,NA,1,1125,28,No,100
2013,4,2.5,2,2,NA,299,NA,NA,NA,100,3,1125,0,No,100
2013,2,1,1,1,NA,285,1250,4500,500,115,30,120,0,No,NA
2013,1,1.5,1,1,NA,75,490,NA,NA,NA,1,1125,84,No,100
2013,3,1,1,2,NA,213,NA,6270,NA,100,3,1125,35,Yes,97
2013,5,2,2,3,NA,298,NA,8070,NA,100,3,1125,89,Yes,97
2013,5,2,2,3,NA,293,NA,6750,NA,100,7,1125,0,Yes,97
2013,5,2,2,3,NA,312,NA,7170,NA,100,7,1125,15,Yes,97
2013,3,1,1,2,NA,217,NA,5850,NA,100,7,1125,2,Yes,97
2013,3,1,1,2,NA,244,NA,5070,NA,100,3,1125,90,Yes,97
2013,3,1,1,2,NA,231,NA,6270,NA,100,3,1125,90,Yes,97
2012,3,1,1,1,NA,195,446,1575,200,50,2,1125,9,Yes,99
2012,4,1,1,1,NA,115,NA,NA,0,0,1,1125,7,No,100
2013,3,1,1,2,NA,70,550,2100,100,40,1,14,7,Yes,100
2012,4,1.5,2,2,NA,230,1600,4200,1000,100,7,1125,0,No,NA
2011,2,1,1,1,NA,100,NA,NA,100,30,2,1124,26,Yes,100
2011,6,1,2,3,NA,250,NA,NA,300,100,2,1125,42,Yes,100
2012,2,1,1,1,NA,125,714,NA,220,40,2,10,0,No,NA
2013,4,1,1,2,NA,110,NA,NA,NA,NA,1,1125,8,No,100
2013,2,1,1,1,NA,68,NA,NA,NA,5,1,1125,0,No,NA
2013,1,1,1,1,NA,76,NA,NA,100,15,2,1125,0,No,NA
2013,4,1.5,2,2,NA,405,2550,8850,1000,150,5,1125,72,No,100
2013,4,1,1,2,NA,120,NA,NA,NA,NA,2,365,0,No,NA
2013,6,1.5,3,3,NA,499,990,4300,350,69,2,250,82,No,100
2013,2,1,1,1,NA,125,NA,NA,NA,NA,1,1125,24,No,100
2013,2,1,1,2,NA,114,NA,NA,NA,60,1,7,0,No,NA
2013,5,1,2,3,NA,293,NA,8070,NA,100,3,1125,90,Yes,97
2013,5,2,2,3,NA,312,NA,6870,NA,100,3,1125,81,Yes,97
2013,2,2.5,1,1,NA,70,NA,NA,NA,10,2,1125,61,Yes,98
